# Vestibular FGV Unificado 2025.1 — provas de 14 e 15/11/2024. Caderno objetivo A101 (tipo 1), escaneado: texto por OCR, gabarito lido dos destaques amarelos do caderno-gabarito oficial.
edicao;prova;numero;materia;tema;subtema;gabarito;valor;tags;resumo
2025.1;Objetiva;36;Inglês;Inferência;intenção do autor;A;;Rússia,David McCloskey;O que McCloskey quer dizer com "I'm not sure it's true"
2025.1;Objetiva;37;Inglês;Informação específica;afirmação sustentada;B;;júri,história do direito;Origem do júri como forma de verificar quem dizia a verdade
2025.1;Objetiva;38;Inglês;Inferência;conclusão lógica;D;;trial by ordeal,ordálio;Conclusão sobre o "trial by ordeal"
2025.1;Objetiva;39;Inglês;Informação específica;questão EXCEPT;A;;júri,Igreja,1215;Afirmativa NÃO sustentada sobre ordálio e júri
2025.1;Objetiva;40;Inglês;Informação específica;fato narrado;B;;Theodore Roosevelt,atentado,1912;O que aconteceu em Milwaukee em 14/10/1912
2025.1;Objetiva;41;Inglês;Informação específica;questão EXCEPT;E;;Theodore Roosevelt;Afirmativa NÃO sustentada sobre o atentado a Roosevelt
2025.1;Objetiva;42;Inglês;Inferência;sugestão do texto;C;;Theodore Roosevelt;O que Roosevelt fez depois de ser baleado
2025.1;Objetiva;43;Inglês;Inferência;questão LEAST;B;;Gilgamesh,dilúvio,Mesopotâmia;Ideia menos apoiada pela história do grande dilúvio
2025.1;Objetiva;44;Inglês;Informação específica;questão NOT;C;;Gilgamesh,deuses;O que NÃO é sustentado sobre os deuses
2025.1;Objetiva;45;Inglês;Inferência;sugestão do texto;D;;Gilgamesh,cuneiforme;O que sugere a história na Tábua XI da Epopeia de Gilgamesh
2025.1;Objetiva;46;Atualidades;Economia global;relações Brasil–China;A;;China,commodities,política externa,Nova Rota da Seda;Reatamento Brasil–China (1974) e a relação comercial atual
2025.1;Objetiva;47;Atualidades;Geopolítica e conflitos;eleições na Venezuela 2024;D;;Venezuela,Maduro,América Latina,União Europeia;Reações internacionais à eleição venezuelana de julho de 2024
2025.1;Objetiva;48;Atualidades;Cultura e artes;Machado de Assis viraliza;C;;Memórias Póstumas de Brás Cubas,Machado de Assis,redes sociais;Clássico brasileiro de 1881 que viralizou nas redes em 2024
2025.1;Objetiva;49;História;Antiguidade;mulheres em Roma;D;;Roma,mulheres,Finley;Papel das mulheres no mundo romano (Finley)
2025.1;Objetiva;50;História;Descolonização e Sul Global;criação do Estado de Israel;B;;Israel,Palestina,1948,pós-Segunda Guerra;Contexto da criação de Israel em 1948
2025.1;Objetiva;51;História;Historiografia e memória;periodização histórica;E;;historiografia,Michel de Certeau;A historiografia e o gesto de dividir o tempo em períodos
2025.1;Objetiva;52;História;Brasil Colônia;engenho de açúcar;A;;açúcar,escravidão,Fernão Cardim;Estrutura produtiva do engenho: escravos e homens livres especializados
2025.1;Objetiva;53;História;Brasil Império;Constituição de 1824;E;;Constituinte de 1823,Poder Moderador,D. Pedro I;Processo de elaboração da Constituição de 1824
2025.1;Objetiva;54;História;Ditadura militar;abertura e oposição (1974–1980);D;;MDB,eleições de 1974,oposição,Geisel;Manifestações da oposição à ditadura entre 1974 e 1980
2025.1;Objetiva;55;Geografia;População e migração;indicadores demográficos;C;;mortalidade infantil,esperança de vida,desigualdade;Crescimento econômico 1940–1980 e melhora de indicadores sociais
2025.1;Objetiva;56;Geografia;Meio ambiente e sustentabilidade;relação sociedade–natureza;E;;modernidade,crise ecológica;Separação moderna entre natureza e sociedade e a crise ecológica
2025.1;Objetiva;57;Geografia;Meio ambiente e sustentabilidade;desmatamento da Amazônia;A;;Amazônia,Inpe,desmatamento;Dados do Inpe sobre o desmatamento da Amazônia Legal
2025.1;Objetiva;58;Geografia;Meio ambiente e sustentabilidade;desenvolvimento sustentável;C;;sustentabilidade,consumo;Comportamento que NÃO contribui para o desenvolvimento sustentável
2025.1;Objetiva;59;Geografia;Urbanização;urbanização brasileira pós-1980;B;;metrópoles,cidades médias,migração;Afirmação correta sobre a urbanização brasileira desde 1980
2025.1;Objetiva;60;Geografia;Globalização e economia mundial;China: abertura econômica;B;;China,Deng Xiaoping,socialismo de mercado;Mudanças na China a partir da abertura de Deng Xiaoping
2025.1;Redação;R;Redação;Política e democracia;"cultura woke": prós e contras;;;woke,guerra cultural,antirracismo,polarização;Tema: "A 'cultura woke': prós e contras"
2025.1;Discursiva;CH1;História;Idade Média;Cruzadas;;;Cruzadas,Jerusalém,judaísmo,cristianismo,islamismo;Motivações das Cruzadas e as três religiões que têm Jerusalém como sagrada
2025.1;Discursiva;CH2;História;Era Vargas;CLT e corporativismo;;;CLT,Estado Novo,trabalhismo,corporativismo;Medidas da CLT (1943) e sua relação com o corporativismo do Estado Novo
2025.1;Discursiva;CH3;História;Descolonização e Sul Global;colônias portuguesas na África;;;Angola,Moçambique,salazarismo,Guerra Fria;Dominação portuguesa na África no séc. XX e a ligação com a Guerra Fria
2025.1;Discursiva;CH4;Atualidades;Sociedade e direitos;abertura das Olimpíadas de Paris e identitarismo;;;Olimpíadas 2024,paganismo,movimentos identitários,diversidade;Cultura pagã na abertura dos Jogos de Paris e o que são movimentos identitários
2025.1;Discursiva;CH5;Geografia;População e migração;envelhecimento populacional;;;envelhecimento,transição demográfica,previdência;Problemas econômicos do envelhecimento e a transição demográfica
2025.1;Discursiva;CH6;Geografia;Globalização e economia mundial;esporte e globalização;;;esporte,política,globalização,Boniface;Mudanças no esporte com a globalização e exemplos de esporte e política
2025.1;Discursiva;CH7;Geografia;Clima e recursos hídricos;escassez e poluição da água;;;água,irrigação,aquecimento global,rios;Atividades que agravam a escassez de água e o efeito do aquecimento nos rios
2025.1;Discursiva;CH8;Geografia;Geopolítica;União Europeia;;;União Europeia,Leste Europeu,PIB per capita;Desigualdade do PIB por habitante na UE e ganhos com a entrada do Leste
2025.1;Discursiva;LP1;Língua Portuguesa;Interpretação de texto;relação entre legenda e fala;;;televisão,humor,legenda;Relação de sentido entre a legenda da faixa e a fala da apresentadora
2025.1;Discursiva;LP2;Língua Portuguesa;Reescrita e voz verbal;reescrita formal com conectivo concessivo;;;embora,registro formal,concessão;Reescrever notícia em linguagem formal trocando "mas" por "embora"
2025.1;Discursiva;LP3;Língua Portuguesa;Morfologia e formação de palavras;radicais gregos;;;biocentrismo,geocentrismo,heliocentrismo,Marcelo Gleiser;Radicais gregos em biocentrismo, geocentrismo e heliocentrismo
2025.1;Discursiva;LP4;Língua Portuguesa;Interpretação de texto;gênero textual manifesto;;;gênero textual,manifesto,Marcelo Gleiser;É apropriado usar "manifesto" no título do livro?
2025.1;Discursiva;LP5;Língua Portuguesa;Sintaxe;funções do "que";;;pronome relativo,sujeito,objeto direto;Achar o "que" como sujeito e como objeto direto
2025.1;Discursiva;LP6;Língua Portuguesa;Reescrita e voz verbal;ativa x passiva;;;voz passiva,voz ativa;Passar uma frase para a voz passiva e outra para a ativa
2025.1;Discursiva;LP7;Língua Portuguesa;Interpretação de texto;paradoxo no texto;;;Moby Dick,Marco Lucchesi,clássicos;A que paradoxo o autor se refere ao falar da primeira leitura de um clássico
2025.1;Discursiva;LP8;Língua Portuguesa;Figuras de linguagem e estilo;figura reiterada;;;Moby Dick,metáfora,mar;Figura de linguagem reiterada no penúltimo parágrafo, com exemplos
2025.1;Discursiva;AR1;Artes e Questões Contemporâneas;Artes visuais;Os bichos (Lygia Clark);;;Lygia Clark,neoconcretismo,participação do espectador;Alcance de "Os bichos" sobre a realidade ao sair do plano
2025.1;Discursiva;AR2;Artes e Questões Contemporâneas;Artes visuais;Abaporu x Os bichos;;;Tarsila do Amaral,Antropofagia,Modernismo,Lygia Clark;Comparar "Abaporu" e "Os bichos": corpo, plasticidade e tipos nacionais
2025.1;Discursiva;AR3;Artes e Questões Contemporâneas;Teatro;A Mandrágora (Maquiavel);;;Maquiavel,Renascimento,comédia,poder;Dramaturgia como espaço para a sociedade refletir sobre seus valores
2025.1;Discursiva;AR4;Artes e Questões Contemporâneas;Música;Revolution (Beatles);;;Beatles,1968,contracultura,revolução;Interpretar "Revolution" dos Beatles à luz de 1968
2025.1;Discursiva;AR5;Artes e Questões Contemporâneas;Questões contemporâneas;arte e crise da democracia;;;Manuel Castells,Ruptura,democracia liberal;Papel da arte numa conjuntura de crise democrática (Castells)
