# Vestibular FGV Unificado 2022.1 — provas de 14 e 15/11/2021, em 4 blocos (redação digitada, 200–450 palavras). Objetivas: só Matemática (10) e Inglês (15). Gabarito lido dos destaques dos cadernos-gabarito oficiais. Houve reaplicação em 26/11/2021 (Inglês com textos sobre China e tempestades solares) — fora da contagem.
edicao;prova;numero;materia;tema;subtema;gabarito;valor;tags;resumo
2022.1;Discursiva;CH7;História;América colonial e independente;colonização inglesa na América;;;puritanos,Levellers,Treze Colônias;Religião e sociedade inglesas e os primeiros colonos — Norte x Sul
2022.1;Discursiva;CH8;História;Revoluções (séc. XVIII–XIX);Adam Smith e o liberalismo;;;liberalismo econômico,divisão do trabalho,Revolução Industrial;Corrente econômica de Adam Smith e seu contexto histórico
2022.1;Discursiva;LP16;Língua Portuguesa;Interpretação de texto;relação entre imagem e texto;;;campanha,fome;Com que palavra do texto, além de "fome", a imagem se relaciona
2022.1;Discursiva;LP17;Língua Portuguesa;Reescrita e voz verbal;reescrita com "embora" e plural;;;concessão,concordância;Reescrever o texto numa frase iniciada por "embora"
2022.1;Discursiva;LP18;Língua Portuguesa;Interpretação de texto;distinção de conceitos;;;teoria da mente,Calligaris;Teoria da mente emocional x cognitiva
2022.1;Discursiva;LP19;Língua Portuguesa;Reescrita e voz verbal;passiva para ativa e norma-padrão;;;voz ativa;Reescrever frase trocando as passivas por ativas
2022.1;Discursiva;LP20;Língua Portuguesa;Argumentação e estratégias do texto;oposição entre características;;;ficção popular,ficção literária,adjetivos;Adjetivos da ficção popular em oposição aos "melhores leitores"
2022.1;Discursiva;LP21;Língua Portuguesa;Figuras de linguagem e estilo;linguagem figurada;;;conotação,verbo,adjetivo;Um verbo e um adjetivo em sentido figurado
2022.1;Discursiva;LP22;Língua Portuguesa;Morfologia e formação de palavras;radical grego -patia;;;empatia,sociopatia,psicopatia;O radical "-patia" tem o mesmo sentido nas três palavras?
2022.1;Discursiva;LP23;Língua Portuguesa;Coesão e referência;conectivo conclusivo "Em suma";;;conectivos,texto dissertativo;É correto o uso de "Em suma" no último parágrafo?
2022.1;Discursiva;LP24;Língua Portuguesa;Interpretação de texto;compreensão;;;Harari,Sapiens,ordem social;Por que sociedades humanas precisam de advogados e colmeias não
2022.1;Discursiva;LP25;Língua Portuguesa;Semântica e vocabulário;sinônimos em contexto;;;sinônimos;Sinônimos para quatro palavras do texto de Harari
2022.1;Discursiva;AR11;Artes e Questões Contemporâneas;Literatura brasileira;Manifesto Antropófago;;;Oswald de Andrade,Semana de 22,Benedito Nunes,Modernismo;Elementos contraditórios do Manifesto Antropófago
2022.1;Discursiva;AR12;Artes e Questões Contemporâneas;Questões contemporâneas;antropofagia e questão indígena hoje;;;antropofagia,povos indígenas,Oswald de Andrade;A metáfora antropofágica como desafio para o Brasil de hoje
2022.1;Discursiva;AR13;Artes e Questões Contemporâneas;Artes visuais;Cézanne x Anita Malfatti;;;Cézanne,Anita Malfatti,vanguardas,pós-impressionismo;Comparar "Os jogadores de cartas" e "La rentrée"
2022.1;Discursiva;AR14;Artes e Questões Contemporâneas;Pensamento social e filosofia;Castells x Kant;;;Castells,Ruptura,Kant,Iluminismo,crise da democracia;Crise da democracia liberal (Castells) e emancipação pela razão (Kant)
2022.1;Discursiva;AR15;Artes e Questões Contemporâneas;Pensamento social e filosofia;Castells x Marx;;;Castells,Marx,Manifesto Comunista,movimentos sociais;Mudança histórica em Castells x visão marxista
