# Vestibular Direito SP 2021.1 — prova própria da Escola de Direito SP (não Unificado), 01 e 02/11/2020, formato de pandemia: TUDO discursivo, em 4 blocos. Valores por pergunta na coluna valor. Raciocínio Lógico-Matemático entra como Matemática.
edicao;prova;numero;materia;tema;subtema;gabarito;valor;tags;resumo
2021.1;Discursiva;AR1;Artes e Questões Contemporâneas;Literatura brasileira;Memórias póstumas de Brás Cubas;;2,0;Machado de Assis,Roberto Schwarz,As ideias fora do lugar,favor;Brás Cubas lido pela tese das "ideias fora do lugar" de Schwarz
2021.1;Discursiva;AR2;Artes e Questões Contemporâneas;Literatura brasileira;literatura e experiência coletiva;;2,0;bibliografia do programa,ficção e história;Escolher um livro do programa: ficção como expressão de um período histórico
2021.1;Discursiva;AR3;Artes e Questões Contemporâneas;Cinema;Tropa de elite 2 x Castells;;2,0;José Padilha,Castells,Ruptura,crise da democracia;Crise da democracia liberal (Castells) em "Tropa de elite 2"
2021.1;Discursiva;AR4;Artes e Questões Contemporâneas;Artes visuais;Guernica e Revolution no seu tempo;;2,0;Picasso,Guernica,Beatles,Revolution,Guerra Civil Espanhola,1968;Contexto político de "Guernica" e de "Revolution"
2021.1;Discursiva;AR5;Artes e Questões Contemporâneas;Música;Guernica e Revolution: a guerra;;2,0;Picasso,Beatles,guerra;Aproximar os sentidos de "Guernica" e "Revolution" sobre a guerra
2021.1;Discursiva;CH6;História;Brasil Colônia;escravidão colonial;;1,0;escravidão;Características da escravidão no período colonial
2021.1;Discursiva;CH7;História;Brasil Colônia;escravismo colonial;;1,0;escravismo;Duas características do escravismo colonial brasileiro
2021.1;Discursiva;CH8;História;Brasil Colônia;situação legal do escravizado;;1,0;escravidão,direito;Situação legal do escravizado no período colonial
2021.1;Discursiva;CH9;História;Primeira República (1889–1930);mulheres e industrialização;;1,0;mulheres,industrialização,operárias;Situação social das mulheres na primeira industrialização
2021.1;Discursiva;CH10;História;Era Vargas;voto feminino;;1,0;voto feminino,Código Eleitoral de 1932;Condições políticas do voto feminino nos anos 1930
2021.1;Discursiva;CH11;História;Movimentos sociais e cidadania;mulheres na política hoje;;1,0;representação feminina,cotas;Duas características da inserção política das mulheres hoje
2021.1;Discursiva;CH12;História;América colonial e independente;independências na América;;1,5;independências,crise do sistema colonial,Napoleão;Causas comuns das independências hispânicas e da portuguesa
2021.1;Discursiva;CH13;História;América colonial e independente;fragmentação da América espanhola;;1,0;caudilhismo,elites criollas;Razões da fragmentação da América espanhola
2021.1;Discursiva;CH14;História;Brasil Império;unidade territorial do Brasil;;1,5;independência,unidade territorial,monarquia;Razões da manutenção da unidade da América portuguesa
2021.1;Discursiva;GE1;Geografia;Tecnologia, informação e trabalho;telefonia móvel;;1,0;TICs,celular;Duas razões para o aumento de usuários de telefonia móvel
2021.1;Discursiva;GE2;Geografia;Tecnologia, informação e trabalho;TICs e mercado de trabalho;;1,0;TICs,trabalho;Impacto das TICs no mercado de trabalho
2021.1;Discursiva;GE3;Geografia;Tecnologia, informação e trabalho;TICs e conhecimento;;1,0;TICs,educação;TICs e massificação do conhecimento
2021.1;Discursiva;GE4;Geografia;Urbanização;tensão social em São Paulo;;1,5;São Paulo,segregação,violência urbana;Razões do aumento da tensão social em São Paulo
2021.1;Discursiva;GE5;Geografia;Urbanização;autossegregação das classes altas;;1,0;condomínios fechados,São Paulo;Estratégias espaciais das classes média e alta contra a violência
2021.1;Discursiva;GE6;Geografia;Urbanização;divisão político-administrativa de SP;;1,0;São Paulo,centro e periferia;Descompasso entre divisão administrativa e estrutura social de SP
2021.1;Discursiva;GE7;Geografia;Indústria e energia;peso econômico de São Paulo;;1,0;PIB,São Paulo;Argumentos para a participação de SP no PIB
2021.1;Discursiva;GE8;Geografia;Geopolítica;representação na Câmara dos Deputados;;1,0;federalismo,representação,São Paulo,Acre;SP x Acre na Câmara: o que se conclui
2021.1;Discursiva;GE9;Geografia;Geopolítica;Sudeste: PIB x representação política;;1,5;Sudeste,PIB,Câmara dos Deputados;Peso do Sudeste no PIB e na Câmara
2021.1;Discursiva;RL10;Matemática;Razão, proporção e porcentagem;divisão proporcional de herança;;1,0;herança,porcentagem;Percentual da herança que Bernardo recebe
2021.1;Discursiva;RL11;Matemática;Lógica e raciocínio;divisão com restrição;;1,5;herança,ações,argumentação;É possível o advogado receber só 5% das ações?
2021.1;Discursiva;RL12;Matemática;Álgebra e equações;sistema de equações;;1,0;herança,frações;Divisão da herança por frações do que os outros recebem
2021.1;Discursiva;RL13;Matemática;Probabilidade;máximo de lançamentos de dado;;1,0;dado;Probabilidade de o maior resultado em 3 lançamentos ser 2
2021.1;Discursiva;RL14;Matemática;Análise combinatória;sequências com soma fixa;;1,0;dado;Sequências de 3 lançamentos com soma 13
2021.1;Discursiva;RL15;Matemática;Probabilidade;comparação de probabilidades;ANULADA;1,5;dado,urna;Qual modalidade de jogo é mais provável ganhar (anulada)
2021.1;Discursiva;RL16;Matemática;Lógica e raciocínio;diferença de idades em meses;;1,0;idades,calendário;Maior e menor diferença de idade possíveis em meses
2021.1;Discursiva;RL17;Matemática;Lógica e raciocínio;idades e meses de nascimento;;1,0;idades,calendário;Meses em que dois irmãos têm a mesma idade
2021.1;Discursiva;RL18;Matemática;Lógica e raciocínio;soma de idades;;1,0;idades,calendário;Em que mês foi dita a frase sobre a soma das idades
